Diphasium madeirense
Diphasium tristachyum
Diplazium sibiricum
Diplodus annularis
Diplodus bellottii
Diplodus sargus
Diplodus vulgaris
Diplotaxis ibicensis
Diplotaxis siettiana
Diplotaxis vicentina
Dipsacus cephalarioides
Dipturus batis
Discoglossus galganoi
Discoglossus jeanneae
Discoglossus montalentii
Discoglossus pictus
Discoglossus sardus
Discula leacockiana
Discula tabellata
Discula testudinalis
Discula turricula
Discus defloratus
Discus guerinianus
Distichophyllum carinatum
Dolichophis caspius
Dolichophis jugularis
Dorcadion fulvum
Doronicum plantagineum
Dorycnium pentaphyllum
Dorycnium spectabile
Draba cacuminum
Draba cinerea
Draba dorneri
Draba glabella
Dracaena draco
Dracocephalum austriacum
Drepanocladus vernicosus
Dryocopus martius
Dryomys laniger
Dryomys nitedula
Dryopteris corleyi
Dryopteris fragans
Duvalius gebhardti
Duvalius hungaricus
Dytiscus latissimus
Echelus myrus
Echiichthys vipera
Echinodium spinosum
Echium candicans
Echium gentianoides
Echium handiense
Echium pininana
Echium russicum
Economidichthys pygmaeus
Economidichthys trichonis
Egretta alba
Egretta garzetta
Eirenis barani
Eirenis collaris
Eirenis coronella
Eirenis decemlineata
Eirenis eiselti
Eirenis lineomaculata
Eirenis modesta
Eirenis punctatolineata
Eirenis rothii
Elanus caeruleus
Elaphe hohenackeri
Elaphe lineata
Elaphe longissima
Elaphe quatuorlineata
Elaphe sauromates
Elaphe scalaris
Elaphe situla
Elatine gussonei
Eleocharis carniolica
Eliomys quercinus
Elona quimperiana
Emberiza aureola
Emberiza caesia
Emberiza cia
Emberiza cineracea
Emberiza cirlus
Emberiza citrinella
Emberiza hortulana
Emberiza leucocephala
Emberiza melanocephala
Emberiza pusilla
Emberiza rustica
Emberiza schoeniclus
Emys orbicularis
Emys trinacris
Encalypta mutica
Engraulis encrasicolus
Entelurus aequoreus
Epidalea calamita
Epigonus telescopus
Epinephelus aeneus
Epinephelus marginatus
Eptesicus bottae
Eptesicus murinus
Eptesicus nilssonii
Eptesicus serotinus
Erannis ankeraria
Erebia calcaria
Erebia christi
Erebia medusa
Erebia sudetica
Eremias arguta
Eremias velox
Eremophila alpestris
Eremopoa mardinensis
Eretmochelys imbricata
Erica scoparia
Erigeron frigidus
Erignathus barbatus
Erinaceus algirus
Erinaceus concolor
Erinaceus europaeus
Erinaceus roumanicus
Eriogaster catax
Erithacus rubecula
Erodium astragaloides
Erodium chrysanthum
Erodium paularense
Erodium rupicola
Erosaria spurca
Errina aspera
Erucastrum palustre
Eryngium alpinum
Eryngium viviparum
Erysimum hungaricum
Erysimum pieninicum
Eryx jaculus
Eryx miliaris
Esox lucius
Esox reichertii
Estrilda astrild
Etmopterus princeps
Etmopterus spinax
Eubalaena glacialis
Eudontomyzon danfordi
Eudontomyzon graecus
Eudontomyzon hellenicus
Eudontomyzon mariae
Eudontomyzon spp.
Eudontomyzon vladykovi
Euleptes europaea
Eumeces schneideri
Euphorbia bourgaeana
Euphorbia handiensis
Euphorbia lambii
Euphorbia margalidiana
Euphorbia nevadensis
Euphorbia stygiana
Euphorbia transtagana
Euphrasia azorica
Euphrasia genargentea
Euphrasia grandiflora
Euphrasia marchesettii
Euphrasia mendoncae
Euphydryas aurinia
Euphydryas maturna
Euplagia quadripunctaria
Euproctus asper
Euproctus montanus
Euproctus platycephalus
Fabriciana niobe
Falco biarmicus
Falco cherrug
Falco columbarius
Falco eleonorae
Falco naumanni
Falco pelegrinoides
Falco peregrinus
Falco rusticolus
Falco subbuteo
Falco tinnunculus
Falco vespertinus
Felis lynx
Felis silvestris
Feresa attenuata
Ferula halophila
Ferula latipinna
Ferula orientalis
Ferula sadleriana
Festuca brigantina
Festuca duriotagana
Festuca elegans
Festuca henriquesii
Festuca summilusitana
Festuca summilusitanica
Ficedula albicollis
Ficedula hypoleuca
Ficedula parva
Ficedula semitorquata
Francolinus francolinus
